wafer_id,event_time,lot,slot
WF.010315,2026-05-01 00:15:00,CL-2601-003,15
WF.010316,2026-05-01 00:16:00,CL-2601-003,16
WF.010317,2026-05-01 00:17:00,CL-2601-003,17
WF.010318,2026-05-01 00:18:00,CL-2601-003,18
WF.010319,2026-05-01 00:19:00,CL-2601-003,19
WF.010320,2026-05-01 00:20:00,CL-2601-003,20
WF.010321,2026-05-01 00:21:00,CL-2601-003,21
WF.010322,2026-05-01 00:22:00,CL-2601-003,22
WF.010323,2026-05-01 00:23:00,CL-2601-003,23
WF.010324,2026-05-01 00:24:00,CL-2601-003,24
WF.010325,2026-05-01 00:25:00,CL-2601-003,25
WF.010401,2026-05-01 00:01:00,CL-2601-004,01
WF.010402,2026-05-01 00:02:00,CL-2601-004,02
WF.010403,2026-05-01 00:03:00,CL-2601-004,03
WF.010404,2026-05-01 00:04:00,CL-2601-004,04
WF.010405,2026-05-01 00:05:00,CL-2601-004,05
WF.010406,2026-05-01 00:06:00,CL-2601-004,06
WF.010407,2026-05-01 00:07:00,CL-2601-004,07
WF.010408,2026-05-01 00:08:00,CL-2601-004,08
WF.010409,2026-05-01 00:09:00,CL-2601-004,09
WF.010410,2026-05-01 00:10:00,CL-2601-004,10
WF.010411,2026-05-01 00:11:00,CL-2601-004,11
WF.010412,2026-05-01 00:12:00,CL-2601-004,12
WF.010413,2026-05-01 00:13:00,CL-2601-004,13
WF.010414,2026-05-01 00:14:00,CL-2601-004,14
WF.010415,2026-05-01 00:15:00,CL-2601-004,15
WF.010416,2026-05-01 00:16:00,CL-2601-004,16
WF.010417,2026-05-01 00:17:00,CL-2601-004,17
WF.010418,2026-05-01 00:18:00,CL-2601-004,18
WF.010419,2026-05-01 00:19:00,CL-2601-004,19
WF.010420,2026-05-01 00:20:00,CL-2601-004,20
WF.010421,2026-05-01 00:21:00,CL-2601-004,21
WF.010422,2026-05-01 00:22:00,CL-2601-004,22
WF.010423,2026-05-01 00:23:00,CL-2601-004,23
WF.010424,2026-05-01 00:24:00,CL-2601-004,24
WF.010425,2026-05-01 00:25:00,CL-2601-004,25
WF.010501,2026-05-01 00:01:00,CL-2601-005,01
WF.010502,2026-05-01 00:02:00,CL-2601-005,02
WF.010503,2026-05-01 00:03:00,CL-2601-005,03
WF.010504,2026-05-01 00:04:00,CL-2601-005,04
WF.010505,2026-05-01 00:05:00,CL-2601-005,05
WF.010506,2026-05-01 00:06:00,CL-2601-005,06
WF.010507,2026-05-01 00:07:00,CL-2601-005,07
WF.010508,2026-05-01 00:08:00,CL-2601-005,08
WF.010509,2026-05-01 00:09:00,CL-2601-005,09
WF.010510,2026-05-01 00:10:00,CL-2601-005,10
WF.010511,2026-05-01 00:11:00,CL-2601-005,11
WF.010512,2026-05-01 00:12:00,CL-2601-005,12
WF.010513,2026-05-01 00:13:00,CL-2601-005,13
WF.010514,2026-05-01 00:14:00,CL-2601-005,14
WF.010515,2026-05-01 00:15:00,CL-2601-005,15
WF.010516,2026-05-01 00:16:00,CL-2601-005,16
WF.010517,2026-05-01 00:17:00,CL-2601-005,17
WF.010518,2026-05-01 00:18:00,CL-2601-005,18
WF.010519,2026-05-01 00:19:00,CL-2601-005,19
WF.010520,2026-05-01 00:20:00,CL-2601-005,20
WF.010521,2026-05-01 00:21:00,CL-2601-005,21
WF.010522,2026-05-01 00:22:00,CL-2601-005,22
WF.010523,2026-05-01 00:23:00,CL-2601-005,23
WF.010524,2026-05-01 00:24:00,CL-2601-005,24
WF.010525,2026-05-01 00:25:00,CL-2601-005,25
WF.010601,2026-05-01 00:01:00,CL-2601-006,01
WF.010602,2026-05-01 00:02:00,CL-2601-006,02
WF.010603,2026-05-01 00:03:00,CL-2601-006,03
WF.010604,2026-05-01 00:04:00,CL-2601-006,04
WF.010605,2026-05-01 00:05:00,CL-2601-006,05
WF.010606,2026-05-01 00:06:00,CL-2601-006,06
WF.010607,2026-05-01 00:07:00,CL-2601-006,07
WF.010608,2026-05-01 00:08:00,CL-2601-006,08
WF.010609,2026-05-01 00:09:00,CL-2601-006,09
WF.010610,2026-05-01 00:10:00,CL-2601-006,10
WF.010611,2026-05-01 00:11:00,CL-2601-006,11
WF.010612,2026-05-01 00:12:00,CL-2601-006,12
WF.010613,2026-05-01 00:13:00,CL-2601-006,13
WF.010614,2026-05-01 00:14:00,CL-2601-006,14
WF.010615,2026-05-01 00:15:00,CL-2601-006,15
WF.010616,2026-05-01 00:16:00,CL-2601-006,16
WF.010617,2026-05-01 00:17:00,CL-2601-006,17
WF.010618,2026-05-01 00:18:00,CL-2601-006,18
WF.010619,2026-05-01 00:19:00,CL-2601-006,19
WF.010620,2026-05-01 00:20:00,CL-2601-006,20
WF.010621,2026-05-01 00:21:00,CL-2601-006,21
WF.010622,2026-05-01 00:22:00,CL-2601-006,22
WF.010623,2026-05-01 00:23:00,CL-2601-006,23
WF.010624,2026-05-01 00:24:00,CL-2601-006,24
WF.010625,2026-05-01 00:25:00,CL-2601-006,25
WF.010701,2026-05-01 00:01:00,CL-2601-007,01
WF.010702,2026-05-01 00:02:00,CL-2601-007,02
WF.010703,2026-05-01 00:03:00,CL-2601-007,03
WF.010704,2026-05-01 00:04:00,CL-2601-007,04
WF.010705,2026-05-01 00:05:00,CL-2601-007,05
WF.010706,2026-05-01 00:06:00,CL-2601-007,06
WF.010707,2026-05-01 00:07:00,CL-2601-007,07
WF.010708,2026-05-01 00:08:00,CL-2601-007,08
WF.010709,2026-05-01 00:09:00,CL-2601-007,09
WF.010710,2026-05-01 00:10:00,CL-2601-007,10
WF.010711,2026-05-01 00:11:00,CL-2601-007,11
WF.010712,2026-05-01 00:12:00,CL-2601-007,12
WF.010713,2026-05-01 00:13:00,CL-2601-007,13
WF.010714,2026-05-01 00:14:00,CL-2601-007,14
WF.010715,2026-05-01 00:15:00,CL-2601-007,15
WF.010716,2026-05-01 00:16:00,CL-2601-007,16
WF.010717,2026-05-01 00:17:00,CL-2601-007,17
WF.010718,2026-05-01 00:18:00,CL-2601-007,18
WF.010719,2026-05-01 00:19:00,CL-2601-007,19
WF.010720,2026-05-01 00:20:00,CL-2601-007,20
WF.010721,2026-05-01 00:21:00,CL-2601-007,21
WF.010722,2026-05-01 00:22:00,CL-2601-007,22
WF.010723,2026-05-01 00:23:00,CL-2601-007,23
WF.010724,2026-05-01 00:24:00,CL-2601-007,24
WF.010725,2026-05-01 00:25:00,CL-2601-007,25
WF.010801,2026-05-01 00:01:00,CL-2601-008,01
WF.010802,2026-05-01 00:02:00,CL-2601-008,02
WF.010803,2026-05-01 00:03:00,CL-2601-008,03
WF.010804,2026-05-01 00:04:00,CL-2601-008,04
WF.010805,2026-05-01 00:05:00,CL-2601-008,05
WF.010806,2026-05-01 00:06:00,CL-2601-008,06
WF.010807,2026-05-01 00:07:00,CL-2601-008,07
WF.010808,2026-05-01 00:08:00,CL-2601-008,08
WF.010809,2026-05-01 00:09:00,CL-2601-008,09
WF.010810,2026-05-01 00:10:00,CL-2601-008,10
WF.010811,2026-05-01 00:11:00,CL-2601-008,11
WF.010812,2026-05-01 00:12:00,CL-2601-008,12
WF.010813,2026-05-01 00:13:00,CL-2601-008,13
WF.010814,2026-05-01 00:14:00,CL-2601-008,14
WF.010815,2026-05-01 00:15:00,CL-2601-008,15
WF.010816,2026-05-01 00:16:00,CL-2601-008,16
WF.010817,2026-05-01 00:17:00,CL-2601-008,17
WF.010818,2026-05-01 00:18:00,CL-2601-008,18
WF.010819,2026-05-01 00:19:00,CL-2601-008,19
WF.010820,2026-05-01 00:20:00,CL-2601-008,20
WF.010821,2026-05-01 00:21:00,CL-2601-008,21
WF.010822,2026-05-01 00:22:00,CL-2601-008,22
WF.010823,2026-05-01 00:23:00,CL-2601-008,23
WF.010824,2026-05-01 00:24:00,CL-2601-008,24
WF.010825,2026-05-01 00:25:00,CL-2601-008,25
WF.010604,2026-05-03 02:17:00,CL-2601-006-A1,04
WF.010605,2026-05-03 02:17:00,CL-2601-006-A1,05
WF.010611,2026-05-03 02:17:00,CL-2601-006-A1,11
WF.010620,2026-05-03 02:17:00,CL-2601-006-A1,20
WF.010621,2026-05-03 02:17:00,CL-2601-006-A1,21
WF.010622,2026-05-03 02:17:00,CL-2601-006-A1,22
WF.010701,2026-05-03 04:34:00,CL-2601-007-A2,01
WF.010702,2026-05-03 04:34:00,CL-2601-007-A2,02
WF.010703,2026-05-03 04:34:00,CL-2601-007-A2,03
WF.010704,2026-05-03 04:34:00,CL-2601-007-A2,04
WF.010705,2026-05-03 04:34:00,CL-2601-007-A2,05
WF.010706,2026-05-03 04:34:00,CL-2601-007-A2,06
WF.010707,2026-05-03 04:34:00,CL-2601-007-A2,07
WF.010708,2026-05-03 04:34:00,CL-2601-007-A2,08
WF.010709,2026-05-03 04:34:00,CL-2601-007-A2,09
WF.010710,2026-05-03 04:34:00,CL-2601-007-A2,10
WF.010711,2026-05-03 04:34:00,CL-2601-007-A2,11
WF.010712,2026-05-03 04:34:00,CL-2601-007-A2,12
WF.010713,2026-05-03 04:34:00,CL-2601-007-A2,13
WF.010714,2026-05-03 04:34:00,CL-2601-007-A2,14
WF.010715,2026-05-03 04:34:00,CL-2601-007-A2,15
WF.010716,2026-05-03 04:34:00,CL-2601-007-A2,16
WF.010717,2026-05-03 04:34:00,CL-2601-007-A2,17
WF.010718,2026-05-03 04:34:00,CL-2601-007-A2,18
WF.010719,2026-05-03 04:34:00,CL-2601-007-A2,19
WF.010720,2026-05-03 04:34:00,CL-2601-007-A2,20
WF.010721,2026-05-03 04:34:00,CL-2601-007-A2,21
WF.010723,2026-05-03 04:34:00,CL-2601-007-A2,23
WF.010724,2026-05-03 04:34:00,CL-2601-007-A2,24
WF.010725,2026-05-03 04:34:00,CL-2601-007-A2,25
WF.010701,2026-05-03 06:51:00,CL-2601-007-A2-A3,01
WF.010708,2026-05-03 06:51:00,CL-2601-007-A2-A3,08
WF.010710,2026-05-03 06:51:00,CL-2601-007-A2-A3,10
WF.010713,2026-05-03 06:51:00,CL-2601-007-A2-A3,13
WF.010717,2026-05-03 06:51:00,CL-2601-007-A2-A3,17
WF.010718,2026-05-03 06:51:00,CL-2601-007-A2-A3,18
WF.010720,2026-05-03 06:51:00,CL-2601-007-A2-A3,20
WF.010724,2026-05-03 06:51:00,CL-2601-007-A2-A3,24
WF.010201,2026-05-03 09:08:00,CL-2601-002-A4,01
WF.010205,2026-05-03 09:08:00,CL-2601-002-A4,05
WF.010207,2026-05-03 09:08:00,CL-2601-002-A4,07
WF.010208,2026-05-03 09:08:00,CL-2601-002-A4,08
WF.010209,2026-05-03 09:08:00,CL-2601-002-A4,09
WF.010210,2026-05-03 09:08:00,CL-2601-002-A4,10
WF.010211,2026-05-03 09:08:00,CL-2601-002-A4,11
WF.010214,2026-05-03 09:08:00,CL-2601-002-A4,14
WF.010216,2026-05-03 09:08:00,CL-2601-002-A4,16
WF.010219,2026-05-03 09:08:00,CL-2601-002-A4,19
WF.010221,2026-05-03 09:08:00,CL-2601-002-A4,21
WF.010222,2026-05-03 09:08:00,CL-2601-002-A4,22
WF.010224,2026-05-03 09:08:00,CL-2601-002-A4,24
WF.010225,2026-05-03 09:08:00,CL-2601-002-A4,25
WF.010501,2026-05-03 11:25:00,CL-2601-005-A5,01
WF.010502,2026-05-03 11:25:00,CL-2601-005-A5,02
WF.010503,2026-05-03 11:25:00,CL-2601-005-A5,03
WF.010505,2026-05-03 11:25:00,CL-2601-005-A5,05
WF.010506,2026-05-03 11:25:00,CL-2601-005-A5,06
WF.010507,2026-05-03 11:25:00,CL-2601-005-A5,07
WF.010510,2026-05-03 11:25:00,CL-2601-005-A5,10
WF.010512,2026-05-03 11:25:00,CL-2601-005-A5,12
WF.010516,2026-05-03 11:25:00,CL-2601-005-A5,16
WF.010518,2026-05-03 11:25:00,CL-2601-005-A5,18
WF.010523,2026-05-03 11:25:00,CL-2601-005-A5,23
WF.010524,2026-05-03 11:25:00,CL-2601-005-A5,24
WF.010702,2026-05-03 13:42:00,CL-2601-007-A2-A6,02
WF.010703,2026-05-03 13:42:00,CL-2601-007-A2-A6,03
WF.010704,2026-05-03 13:42:00,CL-2601-007-A2-A6,04
WF.010705,2026-05-03 13:42:00,CL-2601-007-A2-A6,05
WF.010706,2026-05-03 13:42:00,CL-2601-007-A2-A6,06
WF.010707,2026-05-03 13:42:00,CL-2601-007-A2-A6,07
WF.010709,2026-05-03 13:42:00,CL-2601-007-A2-A6,09
WF.010711,2026-05-03 13:42:00,CL-2601-007-A2-A6,11
WF.010712,2026-05-03 13:42:00,CL-2601-007-A2-A6,12
WF.010714,2026-05-03 13:42:00,CL-2601-007-A2-A6,14
WF.010715,2026-05-03 13:42:00,CL-2601-007-A2-A6,15
WF.010716,2026-05-03 13:42:00,CL-2601-007-A2-A6,16
WF.010719,2026-05-03 13:42:00,CL-2601-007-A2-A6,19
WF.010723,2026-05-03 13:42:00,CL-2601-007-A2-A6,23
WF.010725,2026-05-03 13:42:00,CL-2601-007-A2-A6,25
WF.010604,2026-05-03 15:59:00,CL-2601-006-A1-A7,04
WF.010605,2026-05-03 15:59:00,CL-2601-006-A1-A7,05
WF.010611,2026-05-03 15:59:00,CL-2601-006-A1-A7,11
WF.010622,2026-05-03 15:59:00,CL-2601-006-A1-A7,22
WF.010702,2026-05-03 18:16:00,CL-2601-007-A2-A6-A8,02
WF.010703,2026-05-03 18:16:00,CL-2601-007-A2-A6-A8,03
WF.010704,2026-05-03 18:16:00,CL-2601-007-A2-A6-A8,04
WF.010705,2026-05-03 18:16:00,CL-2601-007-A2-A6-A8,05
WF.010706,2026-05-03 18:16:00,CL-2601-007-A2-A6-A8,06
WF.010709,2026-05-03 18:16:00,CL-2601-007-A2-A6-A8,09
WF.010711,2026-05-03 18:16:00,CL-2601-007-A2-A6-A8,11
WF.010714,2026-05-03 18:16:00,CL-2601-007-A2-A6-A8,14
WF.010716,2026-05-03 18:16:00,CL-2601-007-A2-A6-A8,16
WF.010719,2026-05-03 18:16:00,CL-2601-007-A2-A6-A8,19
WF.010725,2026-05-03 18:16:00,CL-2601-007-A2-A6-A8,25
WF.010504,2026-05-03 20:33:00,CL-2601-005-A5,04
WF.010508,2026-05-03 20:33:00,CL-2601-005-A5,08
WF.010509,2026-05-03 20:33:00,CL-2601-005-A5,09
WF.010511,2026-05-03 20:33:00,CL-2601-005-A5,11
WF.010513,2026-05-03 20:33:00,CL-2601-005-A5,13
WF.010514,2026-05-03 20:33:00,CL-2601-005-A5,14
WF.010515,2026-05-03 20:33:00,CL-2601-005-A5,15
WF.010517,2026-05-03 20:33:00,CL-2601-005-A5,17
WF.010519,2026-05-03 20:33:00,CL-2601-005-A5,19
WF.010520,2026-05-03 20:33:00,CL-2601-005-A5,20
WF.010521,2026-05-03 20:33:00,CL-2601-005-A5,21
WF.010522,2026-05-03 20:33:00,CL-2601-005-A5,22
WF.010525,2026-05-03 20:33:00,CL-2601-005-A5,25
TP.010101,2026-05-11 00:00:00,DT-2601-001,01
TP.010102,2026-05-11 00:00:00,DT-2601-001,02
TP.010103,2026-05-11 00:00:00,DT-2601-001,03
TP.010104,2026-05-11 00:00:00,DT-2601-001,04
TP.010105,2026-05-11 00:00:00,DT-2601-001,05
TP.010106,2026-05-11 00:00:00,DT-2601-001,07
TP.010107,2026-05-11 00:00:00,DT-2601-001,08
TP.010108,2026-05-11 00:00:00,DT-2601-001,09
TP.010109,2026-05-11 00:00:00,DT-2601-001,10
TP.010110,2026-05-11 00:00:00,DT-2601-001,11
TP.010111,2026-05-11 00:00:00,DT-2601-001,12
TP.010112,2026-05-11 00:00:00,DT-2601-001,13
TP.010113,2026-05-11 00:00:00,DT-2601-001,16
TP.010114,2026-05-11 00:00:00,DT-2601-001,19
TP.010115,2026-05-11 00:00:00,DT-2601-001,20
TP.010116,2026-05-11 00:00:00,DT-2601-001,21
TP.010117,2026-05-11 00:00:00,DT-2601-001,22
TP.010118,2026-05-11 00:00:00,DT-2601-001,23
TP.010119,2026-05-11 00:00:00,DT-2601-001,24
TP.010120,2026-05-11 00:00:00,DT-2601-001,25
TP.010201,2026-05-12 00:00:00,DT-2601-002,01
TP.010202,2026-05-12 00:00:00,DT-2601-002,03
TP.010203,2026-05-12 00:00:00,DT-2601-002,04
TP.010204,2026-05-12 00:00:00,DT-2601-002,06
TP.010205,2026-05-12 00:00:00,DT-2601-002,07
TP.010206,2026-05-12 00:00:00,DT-2601-002,08
TP.010207,2026-05-12 00:00:00,DT-2601-002,09
TP.010208,2026-05-12 00:00:00,DT-2601-002,10
TP.010209,2026-05-12 00:00:00,DT-2601-002,11
TP.010210,2026-05-12 00:00:00,DT-2601-002,12
TP.010211,2026-05-12 00:00:00,DT-2601-002,13
TP.010212,2026-05-12 00:00:00,DT-2601-002,15
TP.010213,2026-05-12 00:00:00,DT-2601-002,16
TP.010214,2026-05-12 00:00:00,DT-2601-002,17
TP.010215,2026-05-12 00:00:00,DT-2601-002,18
TP.010216,2026-05-12 00:00:00,DT-2601-002,19
TP.010217,2026-05-12 00:00:00,DT-2601-002,21
TP.010218,2026-05-12 00:00:00,DT-2601-002,23
TP.010219,2026-05-12 00:00:00,DT-2601-002,24
TP.010220,2026-05-12 00:00:00,DT-2601-002,25
TP.010301,2026-05-13 00:00:00,DT-2601-003,01
TP.010302,2026-05-13 00:00:00,DT-2601-003,02
TP.010303,2026-05-13 00:00:00,DT-2601-003,04
TP.010304,2026-05-13 00:00:00,DT-2601-003,05
TP.010305,2026-05-13 00:00:00,DT-2601-003,06
TP.010306,2026-05-13 00:00:00,DT-2601-003,07
TP.010307,2026-05-13 00:00:00,DT-2601-003,08
TP.010308,2026-05-13 00:00:00,DT-2601-003,10
TP.010309,2026-05-13 00:00:00,DT-2601-003,11
TP.010310,2026-05-13 00:00:00,DT-2601-003,12
TP.010311,2026-05-13 00:00:00,DT-2601-003,13
TP.010312,2026-05-13 00:00:00,DT-2601-003,14
TP.010313,2026-05-13 00:00:00,DT-2601-003,15
TP.010314,2026-05-13 00:00:00,DT-2601-003,16
TP.010315,2026-05-13 00:00:00,DT-2601-003,18
TP.010316,2026-05-13 00:00:00,DT-2601-003,19
TP.010317,2026-05-13 00:00:00,DT-2601-003,20
TP.010318,2026-05-13 00:00:00,DT-2601-003,21
TP.010319,2026-05-13 00:00:00,DT-2601-003,22
TP.010320,2026-05-13 00:00:00,DT-2601-003,25
TP.010401,2026-05-14 00:00:00,DT-2601-004,01
TP.010402,2026-05-14 00:00:00,DT-2601-004,04
TP.010403,2026-05-14 00:00:00,DT-2601-004,05
TP.010404,2026-05-14 00:00:00,DT-2601-004,06
TP.010405,2026-05-14 00:00:00,DT-2601-004,07
TP.010406,2026-05-14 00:00:00,DT-2601-004,08
TP.010407,2026-05-14 00:00:00,DT-2601-004,09
TP.010408,2026-05-14 00:00:00,DT-2601-004,11
TP.010409,2026-05-14 00:00:00,DT-2601-004,12
TP.010410,2026-05-14 00:00:00,DT-2601-004,13
TP.010411,2026-05-14 00:00:00,DT-2601-004,14
TP.010412,2026-05-14 00:00:00,DT-2601-004,15
TP.010413,2026-05-14 00:00:00,DT-2601-004,17
TP.010414,2026-05-14 00:00:00,DT-2601-004,18
TP.010415,2026-05-14 00:00:00,DT-2601-004,19
TP.010416,2026-05-14 00:00:00,DT-2601-004,20
TP.010417,2026-05-14 00:00:00,DT-2601-004,22
TP.010418,2026-05-14 00:00:00,DT-2601-004,23
TP.010419,2026-05-14 00:00:00,DT-2601-004,24
TP.010420,2026-05-14 00:00:00,DT-2601-004,25
TP.010501,2026-05-15 00:00:00,DT-2601-005,01
TP.010502,2026-05-15 00:00:00,DT-2601-005,02
TP.010503,2026-05-15 00:00:00,DT-2601-005,03
TP.010504,2026-05-15 00:00:00,DT-2601-005,04
TP.010505,2026-05-15 00:00:00,DT-2601-005,05
TP.010506,2026-05-15 00:00:00,DT-2601-005,06
TP.010507,2026-05-15 00:00:00,DT-2601-005,07
TP.010508,2026-05-15 00:00:00,DT-2601-005,08
TP.010509,2026-05-15 00:00:00,DT-2601-005,10
TP.010510,2026-05-15 00:00:00,DT-2601-005,11
TP.010511,2026-05-15 00:00:00,DT-2601-005,13
TP.010512,2026-05-15 00:00:00,DT-2601-005,14
TP.010513,2026-05-15 00:00:00,DT-2601-005,16
TP.010514,2026-05-15 00:00:00,DT-2601-005,17
TP.010515,2026-05-15 00:00:00,DT-2601-005,18
TP.010516,2026-05-15 00:00:00,DT-2601-005,20
TP.010517,2026-05-15 00:00:00,DT-2601-005,22
TP.010518,2026-05-15 00:00:00,DT-2601-005,23
TP.010519,2026-05-15 00:00:00,DT-2601-005,24
TP.010520,2026-05-15 00:00:00,DT-2601-005,25
TP.010601,2026-05-16 00:00:00,DT-2601-006,01
TP.010602,2026-05-16 00:00:00,DT-2601-006,02
TP.010603,2026-05-16 00:00:00,DT-2601-006,04
TP.010604,2026-05-16 00:00:00,DT-2601-006,06
TP.010605,2026-05-16 00:00:00,DT-2601-006,07
TP.010606,2026-05-16 00:00:00,DT-2601-006,09
TP.010607,2026-05-16 00:00:00,DT-2601-006,10
TP.010608,2026-05-16 00:00:00,DT-2601-006,11
TP.010609,2026-05-16 00:00:00,DT-2601-006,13
TP.010610,2026-05-16 00:00:00,DT-2601-006,14
TP.010611,2026-05-16 00:00:00,DT-2601-006,15
TP.010612,2026-05-16 00:00:00,DT-2601-006,16
TP.010613,2026-05-16 00:00:00,DT-2601-006,17
TP.010614,2026-05-16 00:00:00,DT-2601-006,18
TP.010615,2026-05-16 00:00:00,DT-2601-006,19
TP.010616,2026-05-16 00:00:00,DT-2601-006,20
TP.010617,2026-05-16 00:00:00,DT-2601-006,21
TP.010618,2026-05-16 00:00:00,DT-2601-006,23
TP.010619,2026-05-16 00:00:00,DT-2601-006,24
TP.010620,2026-05-16 00:00:00,DT-2601-006,25
TP.010401,2026-05-21 02:17:00,DT-2601-004-B1,01
TP.010403,2026-05-21 02:17:00,DT-2601-004-B1,05
TP.010404,2026-05-21 02:17:00,DT-2601-004-B1,06
TP.010405,2026-05-21 02:17:00,DT-2601-004-B1,07
TP.010409,2026-05-21 02:17:00,DT-2601-004-B1,12
TP.010410,2026-05-21 02:17:00,DT-2601-004-B1,13
TP.010411,2026-05-21 02:17:00,DT-2601-004-B1,14
TP.010412,2026-05-21 02:17:00,DT-2601-004-B1,15
TP.010415,2026-05-21 02:17:00,DT-2601-004-B1,19
TP.010418,2026-05-21 02:17:00,DT-2601-004-B1,23
TP.010603,2026-05-21 04:34:00,DT-2601-006-B2,04
TP.010604,2026-05-21 04:34:00,DT-2601-006-B2,06
TP.010613,2026-05-21 04:34:00,DT-2601-006-B2,17
TP.010615,2026-05-21 04:34:00,DT-2601-006-B2,19
TP.010617,2026-05-21 04:34:00,DT-2601-006-B2,21
TP.010618,2026-05-21 04:34:00,DT-2601-006-B2,23
TP.010619,2026-05-21 04:34:00,DT-2601-006-B2,24
TP.010401,2026-05-21 06:51:00,DT-2601-004-B1-B3,01
TP.010403,2026-05-21 06:51:00,DT-2601-004-B1-B3,05
TP.010404,2026-05-21 06:51:00,DT-2601-004-B1-B3,06
TP.010409,2026-05-21 06:51:00,DT-2601-004-B1-B3,12
TP.010411,2026-05-21 06:51:00,DT-2601-004-B1-B3,14
TP.010412,2026-05-21 06:51:00,DT-2601-004-B1-B3,15
TP.010415,2026-05-21 06:51:00,DT-2601-004-B1-B3,19
TP.010418,2026-05-21 06:51:00,DT-2601-004-B1-B3,23
TP.010607,2026-05-21 09:08:00,DT-2601-006-B4,10
TP.010609,2026-05-21 09:08:00,DT-2601-006-B4,13
TP.010612,2026-05-21 09:08:00,DT-2601-006-B4,16
TP.010616,2026-05-21 09:08:00,DT-2601-006-B4,20
TP.010612,2026-05-21 11:25:00,DT-2601-006-B4-B5,16
TP.010604,2026-05-21 13:42:00,DT-2601-006-B2-B6,06
TP.010617,2026-05-21 13:42:00,DT-2601-006-B2-B6,21
TP.010618,2026-05-21 13:42:00,DT-2601-006-B2-B6,23
